FLUKE 289,  V1.41,  0
237,0.3697 A DC,14/01/2026 17:14:26.2,0:00:01.1,14/01/2026 17:14:27.1,0.3755 A DC,0.3457 A DC,14/01/2026 17:14:26.9,0.3316 A DC,Unstable,14/01/2026 17:14:27.3
238,0.3476 A DC,14/01/2026 17:14:27.3,0:00:03.2,14/01/2026 17:14:29.3,0.3541 A DC,0.3401 A DC,14/01/2026 17:14:27.9,0.3339 A DC,Interval,14/01/2026 17:14:30.5
239,0.3418 A DC,14/01/2026 17:14:30.5,0:00:09.2,14/01/2026 17:14:32.6,0.3562 A DC,0.3385 A DC,14/01/2026 17:14:36.9,0.3304 A DC,Stable,14/01/2026 17:14:39.6
240,0.3649 A DC,14/01/2026 17:14:39.6,0:00:00.1,14/01/2026 17:14:39.6,0.3649 A DC,0.3649 A DC,14/01/2026 17:14:39.6,0.3649 A DC,Unstable,14/01/2026 17:14:39.7
241,0.3350 A DC,14/01/2026 17:14:39.7,0:00:00.7,14/01/2026 17:14:40.2,0.3416 A DC,0.3357 A DC,14/01/2026 17:14:40.1,0.3325 A DC,Interval,14/01/2026 17:14:40.4
242,0.3429 A DC,14/01/2026 17:14:40.4,0:00:10.0,14/01/2026 17:14:41.4,0.3508 A DC,0.3400 A DC,14/01/2026 17:14:44.0,0.3331 A DC,Interval,14/01/2026 17:14:50.4
243,0.3427 A DC,14/01/2026 17:14:50.4,0:00:10.1,14/01/2026 17:14:54.2,0.3538 A DC,0.3400 A DC,14/01/2026 17:14:56.4,0.3337 A DC,Interval,14/01/2026 17:15:00.5
244,0.3343 A DC,14/01/2026 17:15:00.5,0:00:02.8,14/01/2026 17:15:02.8,0.3438 A DC,0.3367 A DC,14/01/2026 17:15:00.9,0.3330 A DC,Stable,14/01/2026 17:15:03.3
245,0.3612 A DC,14/01/2026 17:15:03.3,0:00:00.1,14/01/2026 17:15:03.3,0.3612 A DC,0.3612 A DC,14/01/2026 17:15:03.3,0.3612 A DC,Unstable,14/01/2026 17:15:03.4
246,0.3411 A DC,14/01/2026 17:15:03.4,0:00:07.0,14/01/2026 17:15:08.2,0.3490 A DC,0.3388 A DC,14/01/2026 17:15:07.5,0.3329 A DC,Interval,14/01/2026 17:15:10.4
247,0.3357 A DC,14/01/2026 17:15:10.4,0:00:10.1,14/01/2026 17:15:17.3,0.3524 A DC,0.3384 A DC,14/01/2026 17:15:17.5,0.3292 A DC,Interval,14/01/2026 17:15:20.5
248,0.3397 A DC,14/01/2026 17:15:20.5,0:00:05.7,14/01/2026 17:15:23.5,0.3469 A DC,0.3378 A DC,14/01/2026 17:15:23.9,0.3323 A DC,Stable,14/01/2026 17:15:26.2
249,0.3672 A DC,14/01/2026 17:15:26.2,0:00:00.9,14/01/2026 17:15:27.0,0.3772 A DC,0.3465 A DC,14/01/2026 17:15:26.9,0.3346 A DC,Unstable,14/01/2026 17:15:27.1
250,0.3470 A DC,14/01/2026 17:15:27.1,0:00:02.1,14/01/2026 17:15:27.1,0.3470 A DC,0.3377 A DC,14/01/2026 17:15:27.6,0.3296 A DC,Stable,14/01/2026 17:15:29.2
251,0.3823 A DC,14/01/2026 17:15:29.2,0:00:00.4,14/01/2026 17:15:29.2,0.3823 A DC,0.3577 A DC,14/01/2026 17:15:29.4,0.3388 A DC,Unstable,14/01/2026 17:15:29.6
252,0.3370 A DC,14/01/2026 17:15:29.6,0:00:00.8,14/01/2026 17:15:30.2,0.3467 A DC,0.3381 A DC,14/01/2026 17:15:29.9,0.3326 A DC,Interval,14/01/2026 17:15:30.4
253,0.3389 A DC,14/01/2026 17:15:30.4,0:00:05.3,14/01/2026 17:15:33.4,0.3487 A DC,0.3385 A DC,14/01/2026 17:15:35.7,0.3323 A DC,Stable,14/01/2026 17:15:35.8
254,0.3574 A DC,14/01/2026 17:15:35.8,0:00:00.1,14/01/2026 17:15:35.8,0.3574 A DC,0.3574 A DC,14/01/2026 17:15:35.8,0.3574 A DC,Unstable,14/01/2026 17:15:35.9
255,0.3377 A DC,14/01/2026 17:15:35.9,0:00:04.5,14/01/2026 17:15:38.2,0.3504 A DC,0.3390 A DC,14/01/2026 17:15:36.1,0.3324 A DC,Interval,14/01/2026 17:15:40.4
256,0.3386 A DC,14/01/2026 17:15:40.4,0:00:10.1,14/01/2026 17:15:44.2,0.3533 A DC,0.3382 A DC,14/01/2026 17:15:42.8,0.3263 A DC,Interval,14/01/2026 17:15:50.5
257,0.3388 A DC,14/01/2026 17:15:50.5,0:00:10.0,14/01/2026 17:16:00.2,0.3493 A DC,0.3376 A DC,14/01/2026 17:15:58.9,0.3321 A DC,Interval,14/01/2026 17:16:00.4
258,0.3349 A DC,14/01/2026 17:16:00.4,0:00:09.3,14/01/2026 17:16:01.2,0.3496 A DC,0.3376 A DC,14/01/2026 17:16:04.9,0.3324 A DC,Stable,14/01/2026 17:16:09.7
259,0.3716 A DC,14/01/2026 17:16:09.7,0:00:00.1,14/01/2026 17:16:09.7,0.3716 A DC,0.3716 A DC,14/01/2026 17:16:09.7,0.3716 A DC,Unstable,14/01/2026 17:16:09.8
260,0.3404 A DC,14/01/2026 17:16:09.8,0:00:00.7,14/01/2026 17:16:10.0,0.3416 A DC,0.3382 A DC,14/01/2026 17:16:10.4,0.3329 A DC,Interval,14/01/2026 17:16:10.5
261,0.3325 A DC,14/01/2026 17:16:10.5,0:00:07.2,14/01/2026 17:16:14.2,0.3495 A DC,0.3372 A DC,14/01/2026 17:16:10.8,0.3318 A DC,Stable,14/01/2026 17:16:17.7
262,0.3643 A DC,14/01/2026 17:16:17.7,0:00:00.1,14/01/2026 17:16:17.7,0.3643 A DC,0.3643 A DC,14/01/2026 17:16:17.7,0.3643 A DC,Unstable,14/01/2026 17:16:17.8
263,0.3406 A DC,14/01/2026 17:16:17.8,0:00:02.6,14/01/2026 17:16:18.5,0.3440 A DC,0.3388 A DC,14/01/2026 17:16:18.0,0.3349 A DC,Interval,14/01/2026 17:16:20.4
264,0.3392 A DC,14/01/2026 17:16:20.4,0:00:10.0,14/01/2026 17:16:23.5,0.3592 A DC,0.3385 A DC,14/01/2026 17:16:28.4,0.3274 A DC,Interval,14/01/2026 17:16:30.4
265,0.3354 A DC,14/01/2026 17:16:30.4,0:00:10.1,14/01/2026 17:16:32.3,0.3529 A DC,0.3381 A DC,14/01/2026 17:16:38.6,0.3293 A DC,Interval,14/01/2026 17:16:40.5
266,0.3334 A DC,14/01/2026 17:16:40.5,0:00:10.0,14/01/2026 17:16:48.5,0.3506 A DC,0.3379 A DC,14/01/2026 17:16:44.8,0.3318 A DC,Interval,14/01/2026 17:16:50.4
267,0.3383 A DC,14/01/2026 17:16:50.4,0:00:09.0,14/01/2026 17:16:53.2,0.3480 A DC,0.3362 A DC,14/01/2026 17:16:56.5,0.3311 A DC,Stable,14/01/2026 17:16:59.4
268,0.3585 A DC,14/01/2026 17:16:59.4,0:00:00.1,14/01/2026 17:16:59.4,0.3585 A DC,0.3585 A DC,14/01/2026 17:16:59.4,0.3585 A DC,Unstable,14/01/2026 17:16:59.5
269,0.3382 A DC,14/01/2026 17:16:59.5,0:00:01.0,14/01/2026 17:17:00.2,0.3402 A DC,0.3366 A DC,14/01/2026 17:16:59.9,0.3347 A DC,Interval,14/01/2026 17:17:00.5
270,0.3497 A DC,14/01/2026 17:17:00.5,0:00:08.4,14/01/2026 17:17:06.2,0.3504 A DC,0.3374 A DC,14/01/2026 17:17:08.8,0.3319 A DC,Stable,14/01/2026 17:17:08.9
271,0.3275 A DC,14/01/2026 17:17:08.9,0:00:00.8,14/01/2026 17:17:09.6,0.3628 A DC,0.3387 A DC,14/01/2026 17:17:08.9,0.3275 A DC,Unstable,14/01/2026 17:17:09.7
272,0.3369 A DC,14/01/2026 17:17:09.7,0:00:00.7,14/01/2026 17:17:10.2,0.3411 A DC,0.3351 A DC,14/01/2026 17:17:10.1,0.3333 A DC,Interval,14/01/2026 17:17:10.4
273,0.3347 A DC,14/01/2026 17:17:10.4,0:00:06.8,14/01/2026 17:17:12.3,0.3475 A DC,0.3371 A DC,14/01/2026 17:17:14.1,0.3317 A DC,Stable,14/01/2026 17:17:17.3
274,0.3604 A DC,14/01/2026 17:17:17.3,0:00:00.1,14/01/2026 17:17:17.3,0.3604 A DC,0.3604 A DC,14/01/2026 17:17:17.3,0.3604 A DC,Unstable,14/01/2026 17:17:17.4
275,0.3380 A DC,14/01/2026 17:17:17.4,0:00:03.0,14/01/2026 17:17:17.7,0.3522 A DC,0.3364 A DC,14/01/2026 17:17:19.1,0.3301 A DC,Interval,14/01/2026 17:17:20.4
276,0.3323 A DC,14/01/2026 17:17:20.4,0:00:05.9,14/01/2026 17:17:21.2,0.3485 A DC,0.3372 A DC,14/01/2026 17:17:20.4,0.3323 A DC,Stable,14/01/2026 17:17:26.3
277,0.3679 A DC,14/01/2026 17:17:26.3,0:00:00.9,14/01/2026 17:17:27.0,0.3771 A DC,0.3451 A DC,14/01/2026 17:17:26.7,0.3318 A DC,Unstable,14/01/2026 17:17:27.3
278,0.3404 A DC,14/01/2026 17:17:27.3,0:00:02.0,14/01/2026 17:17:28.3,0.3462 A DC,0.3372 A DC,14/01/2026 17:17:29.2,0.3312 A DC,Stable,14/01/2026 17:17:29.3
279,0.3686 A DC,14/01/2026 17:17:29.3,0:00:00.1,14/01/2026 17:17:29.3,0.3686 A DC,0.3686 A DC,14/01/2026 17:17:29.3,0.3686 A DC,Unstable,14/01/2026 17:17:29.4
280,0.3488 A DC,14/01/2026 17:17:29.4,0:00:01.1,14/01/2026 17:17:29.4,0.3488 A DC,0.3389 A DC,14/01/2026 17:17:30.1,0.3336 A DC,Interval,14/01/2026 17:17:30.5
281,0.3365 A DC,14/01/2026 17:17:30.5,0:00:10.0,14/01/2026 17:17:39.2,0.3492 A DC,0.3366 A DC,14/01/2026 17:17:31.0,0.3312 A DC,Interval,14/01/2026 17:17:40.4
282,0.3411 A DC,14/01/2026 17:17:40.4,0:00:10.0,14/01/2026 17:17:46.9,0.3516 A DC,0.3366 A DC,14/01/2026 17:17:48.8,0.3315 A DC,Interval,14/01/2026 17:17:50.4
283,0.3378 A DC,14/01/2026 17:17:50.4,0:00:10.1,14/01/2026 17:17:56.2,0.3486 A DC,0.3369 A DC,14/01/2026 17:17:54.5,0.3280 A DC,Interval,14/01/2026 17:18:00.4
284,0.3382 A DC,14/01/2026 17:18:00.4,0:00:06.5,14/01/2026 17:18:02.4,0.3432 A DC,0.3362 A DC,14/01/2026 17:18:06.5,0.3309 A DC,Stable,14/01/2026 17:18:07.0
285,0.3692 A DC,14/01/2026 17:18:07.0,0:00:00.1,14/01/2026 17:18:07.0,0.3692 A DC,0.3692 A DC,14/01/2026 17:18:07.0,0.3692 A DC,Unstable,14/01/2026 17:18:07.1
286,0.3358 A DC,14/01/2026 17:18:07.1,0:00:03.3,14/01/2026 17:18:09.2,0.3492 A DC,0.3379 A DC,14/01/2026 17:18:07.5,0.3330 A DC,Interval,14/01/2026 17:18:10.4
287,0.3326 A DC,14/01/2026 17:18:10.4,0:00:06.8,14/01/2026 17:18:13.5,0.3482 A DC,0.3359 A DC,14/01/2026 17:18:11.5,0.3312 A DC,Stable,14/01/2026 17:18:17.3
288,0.3531 A DC,14/01/2026 17:18:17.3,0:00:03.2,14/01/2026 17:18:17.3,0.3531 A DC,0.3374 A DC,14/01/2026 17:18:17.6,0.3314 A DC,Interval,14/01/2026 17:18:20.5
289,0.3344 A DC,14/01/2026 17:18:20.5,0:00:01.2,14/01/2026 17:18:21.3,0.3473 A DC,0.3388 A DC,14/01/2026 17:18:20.9,0.3342 A DC,Stable,14/01/2026 17:18:21.7
290,0.3674 A DC,14/01/2026 17:18:21.7,0:00:00.1,14/01/2026 17:18:21.7,0.3674 A DC,0.3674 A DC,14/01/2026 17:18:21.7,0.3674 A DC,Unstable,14/01/2026 17:18:21.8
291,0.3442 A DC,14/01/2026 17:18:21.8,0:00:04.8,14/01/2026 17:18:26.2,0.3529 A DC,0.3381 A DC,14/01/2026 17:18:24.9,0.3303 A DC,Stable,14/01/2026 17:18:26.6
292,0.3679 A DC,14/01/2026 17:18:26.6,0:00:00.1,14/01/2026 17:18:26.6,0.3679 A DC,0.3679 A DC,14/01/2026 17:18:26.6,0.3679 A DC,Unstable,14/01/2026 17:18:26.7
293,0.3372 A DC,14/01/2026 17:18:26.7,0:00:02.5,14/01/2026 17:18:29.1,0.3560 A DC,0.3373 A DC,14/01/2026 17:18:28.6,0.3312 A DC,Stable,14/01/2026 17:18:29.2
294,0.3768 A DC,14/01/2026 17:18:29.2,0:00:01.1,14/01/2026 17:18:29.2,0.3768 A DC,0.3411 A DC,14/01/2026 17:18:29.9,0.3285 A DC,Unstable,14/01/2026 17:18:30.3
295,0.3404 A DC,14/01/2026 17:18:30.3,0:00:00.1,14/01/2026 17:18:30.3,0.3404 A DC,0.3404 A DC,14/01/2026 17:18:30.3,0.3404 A DC,Interval,14/01/2026 17:18:30.4
296,0.3385 A DC,14/01/2026 17:18:30.4,0:00:10.0,14/01/2026 17:18:34.1,0.3520 A DC,0.3369 A DC,14/01/2026 17:18:40.1,0.3282 A DC,Interval,14/01/2026 17:18:40.4
297,0.3382 A DC,14/01/2026 17:18:40.4,0:00:04.5,14/01/2026 17:18:44.2,0.3449 A DC,0.3374 A DC,14/01/2026 17:18:41.0,0.3318 A DC,Stable,14/01/2026 17:18:44.9
298,0.3572 A DC,14/01/2026 17:18:44.9,0:00:01.1,14/01/2026 17:18:44.9,0.3572 A DC,0.3396 A DC,14/01/2026 17:18:45.9,0.3323 A DC,Stable,14/01/2026 17:18:46.0
299,0.3317 A DC,14/01/2026 17:18:46.0,0:00:02.2,14/01/2026 17:18:48.0,0.3447 A DC,0.3363 A DC,14/01/2026 17:18:46.0,0.3317 A DC,Stable,14/01/2026 17:18:48.2
300,0.3518 A DC,14/01/2026 17:18:48.2,0:00:02.2,14/01/2026 17:18:49.2,0.3542 A DC,0.3413 A DC,14/01/2026 17:18:48.5,0.3349 A DC,Interval,14/01/2026 17:18:50.5
301,0.3340 A DC,14/01/2026 17:18:50.5,0:00:10.0,14/01/2026 17:18:58.2,0.3465 A DC,0.3366 A DC,14/01/2026 17:19:00.3,0.3297 A DC,Interval,14/01/2026 17:19:00.4
302,0.3323 A DC,14/01/2026 17:19:00.4,0:00:08.9,14/01/2026 17:19:01.2,0.3503 A DC,0.3370 A DC,14/01/2026 17:19:03.4,0.3314 A DC,Stable,14/01/2026 17:19:09.3
303,0.3773 A DC,14/01/2026 17:19:09.3,0:00:00.1,14/01/2026 17:19:09.3,0.3773 A DC,0.3773 A DC,14/01/2026 17:19:09.3,0.3773 A DC,Unstable,14/01/2026 17:19:09.4
304,0.3353 A DC,14/01/2026 17:19:09.4,0:00:01.1,14/01/2026 17:19:09.7,0.3487 A DC,0.3373 A DC,14/01/2026 17:19:09.5,0.3317 A DC,Interval,14/01/2026 17:19:10.5
305,0.3330 A DC,14/01/2026 17:19:10.5,0:00:10.0,14/01/2026 17:19:12.1,0.3511 A DC,0.3379 A DC,14/01/2026 17:19:14.0,0.3312 A DC,Interval,14/01/2026 17:19:20.4
306,0.3320 A DC,14/01/2026 17:19:20.4,0:00:03.0,14/01/2026 17:19:23.3,0.3476 A DC,0.3357 A DC,14/01/2026 17:19:20.6,0.3294 A DC,Stable,14/01/2026 17:19:23.5
307,0.3644 A DC,14/01/2026 17:19:23.5,0:00:00.1,14/01/2026 17:19:23.5,0.3644 A DC,0.3644 A DC,14/01/2026 17:19:23.5,0.3644 A DC,Unstable,14/01/2026 17:19:23.6
308,0.3415 A DC,14/01/2026 17:19:23.6,0:00:02.7,14/01/2026 17:19:23.8,0.3506 A DC,0.3391 A DC,14/01/2026 17:19:25.7,0.3282 A DC,Stable,14/01/2026 17:19:26.3
309,0.3746 A DC,14/01/2026 17:19:26.3,0:00:00.9,14/01/2026 17:19:27.1,0.3763 A DC,0.3420 A DC,14/01/2026 17:19:26.8,0.3315 A DC,Unstable,14/01/2026 17:19:27.2
310,0.3394 A DC,14/01/2026 17:19:27.2,0:00:03.2,14/01/2026 17:19:29.2,0.3587 A DC,0.3406 A DC,14/01/2026 17:19:28.1,0.3325 A DC,Interval,14/01/2026 17:19:30.4
311,0.3347 A DC,14/01/2026 17:19:30.4,0:00:01.7,14/01/2026 17:19:31.2,0.3438 A DC,0.3362 A DC,14/01/2026 17:19:31.6,0.3333 A DC,Stable,14/01/2026 17:19:32.1
312,0.3559 A DC,14/01/2026 17:19:32.1,0:00:00.3,14/01/2026 17:19:32.1,0.3559 A DC,0.3489 A DC,14/01/2026 17:19:32.3,0.3425 A DC,Unstable,14/01/2026 17:19:32.4
313,0.3336 A DC,14/01/2026 17:19:32.4,0:00:05.0,14/01/2026 17:19:36.2,0.3479 A DC,0.3365 A DC,14/01/2026 17:19:32.5,0.3317 A DC,Stable,14/01/2026 17:19:37.4
314,0.3553 A DC,14/01/2026 17:19:37.4,0:00:03.0,14/01/2026 17:19:37.4,0.3553 A DC,0.3358 A DC,14/01/2026 17:19:38.5,0.3311 A DC,Interval,14/01/2026 17:19:40.5
315,0.3352 A DC,14/01/2026 17:19:40.5,0:00:10.0,14/01/2026 17:19:47.2,0.3523 A DC,0.3385 A DC,14/01/2026 17:19:45.9,0.3292 A DC,Interval,14/01/2026 17:19:50.4
316,0.3363 A DC,14/01/2026 17:19:50.4,0:00:10.1,14/01/2026 17:19:54.2,0.3453 A DC,0.3371 A DC,14/01/2026 17:19:56.6,0.3318 A DC,Interval,14/01/2026 17:20:00.5
317,0.3396 A DC,14/01/2026 17:20:00.5,0:00:09.2,14/01/2026 17:20:03.2,0.3539 A DC,0.3361 A DC,14/01/2026 17:20:02.0,0.3304 A DC,Stable,14/01/2026 17:20:09.6
318,0.3583 A DC,14/01/2026 17:20:09.6,0:00:00.1,14/01/2026 17:20:09.6,0.3583 A DC,0.3583 A DC,14/01/2026 17:20:09.6,0.3583 A DC,Unstable,14/01/2026 17:20:09.7
319,0.3343 A DC,14/01/2026 17:20:09.7,0:00:00.7,14/01/2026 17:20:10.2,0.3389 A DC,0.3346 A DC,14/01/2026 17:20:09.9,0.3330 A DC,Interval,14/01/2026 17:20:10.4
320,0.3345 A DC,14/01/2026 17:20:10.4,0:00:06.3,14/01/2026 17:20:16.6,0.3543 A DC,0.3366 A DC,14/01/2026 17:20:14.5,0.3319 A DC,Stable,14/01/2026 17:20:16.8
321,0.3564 A DC,14/01/2026 17:20:16.8,0:00:01.0,14/01/2026 17:20:17.7,0.3689 A DC,0.3440 A DC,14/01/2026 17:20:17.0,0.3342 A DC,Unstable,14/01/2026 17:20:17.8
322,0.3413 A DC,14/01/2026 17:20:17.8,0:00:02.8,14/01/2026 17:20:18.2,0.3419 A DC,0.3340 A DC,14/01/2026 17:20:19.1,0.3310 A DC,Interval,14/01/2026 17:20:20.6
323,0.3372 A DC,14/01/2026 17:20:20.6,0:00:03.1,14/01/2026 17:20:22.2,0.3477 A DC,0.3380 A DC,14/01/2026 17:20:21.4,0.3305 A DC,Stable,14/01/2026 17:20:23.7
324,0.3675 A DC,14/01/2026 17:20:23.7,0:00:00.1,14/01/2026 17:20:23.7,0.3675 A DC,0.3675 A DC,14/01/2026 17:20:23.7,0.3675 A DC,Unstable,14/01/2026 17:20:23.8
325,0.3355 A DC,14/01/2026 17:20:23.8,0:00:06.6,14/01/2026 17:20:26.2,0.3547 A DC,0.3380 A DC,14/01/2026 17:20:24.8,0.3311 A DC,Interval,14/01/2026 17:20:30.5
326,0.3320 A DC,14/01/2026 17:20:30.5,0:00:04.7,14/01/2026 17:20:34.2,0.3493 A DC,0.3374 A DC,14/01/2026 17:20:31.5,0.3309 A DC,Stable,14/01/2026 17:20:35.2
327,0.3575 A DC,14/01/2026 17:20:35.2,0:00:00.5,14/01/2026 17:20:35.2,0.3575 A DC,0.3438 A DC,14/01/2026 17:20:35.6,0.3332 A DC,Unstable,14/01/2026 17:20:35.7
328,0.3330 A DC,14/01/2026 17:20:35.7,0:00:04.7,14/01/2026 17:20:37.2,0.3493 A DC,0.3373 A DC,14/01/2026 17:20:36.6,0.3294 A DC,Interval,14/01/2026 17:20:40.4
329,0.3433 A DC,14/01/2026 17:20:40.4,0:00:10.1,14/01/2026 17:20:46.0,0.3514 A DC,0.3366 A DC,14/01/2026 17:20:42.1,0.3316 A DC,Interval,14/01/2026 17:20:50.5
330,0.3456 A DC,14/01/2026 17:20:50.5,0:00:00.0,, , ,, ,Logging Stopped,14/01/2026 17:20:50.5

,,A DC,,Average A DC
1,Sample,0.339,14/01/2026 17:00:51.0,0.341775
1,Max,0.3478,14/01/2026 17:00:51.3
1,Min,0.3386,14/01/2026 17:00:52.6
2,Sample,0.2351,14/01/2026 17:00:53.0,0.2366
2,Min,0.2022,14/01/2026 17:00:53.1
2,Max,0.267,14/01/2026 17:00:53.3
3,Sample,0.3133,14/01/2026 17:00:53.5,0.31454
3,Min,0.3087,14/01/2026 17:00:53.6
3,Max,0.3244,14/01/2026 17:00:54.3
4,Sample,0.3424,14/01/2026 17:00:55.0,0.325733333333333
4,Min,0.3184,14/01/2026 17:00:55.4
4,Max,0.3482,14/01/2026 17:00:56.1
5,Sample,0.3284,14/01/2026 17:00:56.2,0.322340476190476
5,Min,0.3085,14/01/2026 17:00:57.5
5,Max,0.3394,14/01/2026 17:00:59.2
6,Sample,0.3003,14/01/2026 17:01:00.5,0.286833333333333
6,Max,0.3003,14/01/2026 17:01:00.5
6,Min,0.2798,14/01/2026 17:01:00.7
7,Sample,0.3276,14/01/2026 17:01:00.8,0.314307142857143
7,Max,0.3289,14/01/2026 17:01:01.1
7,Min,0.3091,14/01/2026 17:01:01.6
8,Sample,0.3847,14/01/2026 17:01:02.2,0.39615
8,Min,0.3847,14/01/2026 17:01:02.2
8,Max,0.4076,14/01/2026 17:01:02.3
9,Sample,0.3322,14/01/2026 17:01:02.4,0.333077777777778
9,Min,0.3249,14/01/2026 17:01:03.0
9,Max,0.348,14/01/2026 17:01:04.3
10,Sample,0.3524,14/01/2026 17:01:07.3,0.33653
10,Max,0.3524,14/01/2026 17:01:07.3
10,Min,0.327,14/01/2026 17:01:07.6
11,Sample,0.3467,14/01/2026 17:01:08.3,0.339614285714286
11,Min,0.3268,14/01/2026 17:01:08.6
11,Max,0.3486,14/01/2026 17:01:10.3
12,Sample,0.3462,14/01/2026 17:01:10.4,0.3451875
12,Max,0.3553,14/01/2026 17:01:11.3
12,Min,0.3328,14/01/2026 17:01:11.9
13,Sample,0.3287,14/01/2026 17:01:12.0,0.335430769230769
13,Min,0.3287,14/01/2026 17:01:12.0
13,Max,0.3426,14/01/2026 17:01:12.3
14,Sample,0.3527,14/01/2026 17:01:13.3,0.3527
14,Max,0.3527,14/01/2026 17:01:13.3
14,Min,0.3527,14/01/2026 17:01:13.3
15,Sample,0.3345,14/01/2026 17:01:13.4,0.334107692307692
15,Max,0.3476,14/01/2026 17:01:13.8
15,Min,0.3285,14/01/2026 17:01:14.6
16,Sample,0.3515,14/01/2026 17:01:16.5,0.336985
16,Max,0.3571,14/01/2026 17:01:17.8
16,Min,0.3262,14/01/2026 17:01:20.2
17,Sample,0.329,14/01/2026 17:01:20.5,0.333883333333333
17,Max,0.3442,14/01/2026 17:01:21.3
17,Min,0.3268,14/01/2026 17:01:21.5
18,Sample,0.3566,14/01/2026 17:01:22.3,0.3566
18,Max,0.3566,14/01/2026 17:01:22.3
18,Min,0.3566,14/01/2026 17:01:22.3
19,Sample,0.3379,14/01/2026 17:01:22.4,0.335527272727273
19,Min,0.3312,14/01/2026 17:01:22.6
19,Max,0.3412,14/01/2026 17:01:23.3
20,Sample,0.3558,14/01/2026 17:01:23.5,0.3558
20,Max,0.3558,14/01/2026 17:01:23.5
20,Min,0.3558,14/01/2026 17:01:23.5
21,Sample,0.3343,14/01/2026 17:01:23.6,0.335715384615385
21,Max,0.3458,14/01/2026 17:01:25.3
21,Min,0.3298,14/01/2026 17:01:26.0
22,Sample,0.3721,14/01/2026 17:01:26.2,0.350166666666667
22,Min,0.3333,14/01/2026 17:01:26.8
22,Max,0.3732,14/01/2026 17:01:26.9
23,Sample,0.3346,14/01/2026 17:01:27.1,0.338511111111111
23,Min,0.3331,14/01/2026 17:01:27.2
23,Max,0.3455,14/01/2026 17:01:28.2
24,Sample,0.3537,14/01/2026 17:01:29.3,0.344845454545455
24,Max,0.3537,14/01/2026 17:01:29.3
24,Min,0.3408,14/01/2026 17:01:29.9
25,Sample,0.3329,14/01/2026 17:01:30.4,0.335863157894737
25,Max,0.3425,14/01/2026 17:01:30.6
25,Min,0.3311,14/01/2026 17:01:32.0
26,Sample,0.3541,14/01/2026 17:01:32.4,0.3593
26,Min,0.3541,14/01/2026 17:01:32.4
26,Max,0.3645,14/01/2026 17:01:32.5
27,Sample,0.3388,14/01/2026 17:01:32.6,0.336512820512821
27,Min,0.3292,14/01/2026 17:01:37.1
27,Max,0.3529,14/01/2026 17:01:40.3
28,Sample,0.3622,14/01/2026 17:01:40.4,0.35944
28,Max,0.3622,14/01/2026 17:01:40.4
28,Min,0.354,14/01/2026 17:01:40.8
29,Sample,0.3412,14/01/2026 17:01:41.3,0.338362711864407
29,Max,0.3525,14/01/2026 17:01:46.1
29,Min,0.3306,14/01/2026 17:01:47.1
30,Sample,0.3568,14/01/2026 17:01:47.2,0.348542857142857
30,Max,0.3568,14/01/2026 17:01:47.2
30,Min,0.3451,14/01/2026 17:01:47.4
31,Sample,0.334,14/01/2026 17:01:47.9,0.337848
31,Max,0.347,14/01/2026 17:01:49.3
31,Min,0.3327,14/01/2026 17:01:49.9
32,Sample,0.3417,14/01/2026 17:01:50.5,0.338564210526316
32,Max,0.3516,14/01/2026 17:01:54.3
32,Min,0.3295,14/01/2026 17:01:55.5
33,Sample,0.3365,14/01/2026 17:02:00.4,0.336735
